,album,artist,trackNumber,id,name,uri,release_date,acousticness,danceability,duration_ms,energy,explicit,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,time_signature,valence,isHit
1168,New Money (Geko x French Montana x Ay Em),Geko,1.0,6NfEnXqB08Rw4idcRhu8MJ,New Money - Geko x French Montana x Ay Em,spotify:track:6NfEnXqB08Rw4idcRhu8MJ,2019-04-11,0.0486,0.454,201898.0,0.844,1.0,0.0,5.0,0.101,-5.179,0.0,44.0,0.316,134.323,3.0,0.333,1.0
1169,Sixteen,Ellie Goulding,1.0,4PkIDTPGedm0enzdvilLNd,Sixteen,spotify:track:4PkIDTPGedm0enzdvilLNd,2019-04-12,0.268,0.669,201072.0,0.801,0.0,0.0,8.0,0.0594,-5.445,1.0,73.0,0.136,109.919,4.0,0.541,1.0
1170,Utopia,M Huncho,7.0,0yXfwx7sBjVGaLAmhbO9Bl,Ocho Cinco,spotify:track:0yXfwx7sBjVGaLAmhbO9Bl,2019-04-12,0.185,0.495,220287.0,0.608,1.0,0.0,9.0,0.153,-8.164,0.0,51.0,0.312,139.199,4.0,0.401,1.0
1171,Late Night Feelings (feat. Lykke Li),Mark Ronson,1.0,7aQeWViSfRWSEwtJD86Eq0,Late Night Feelings (feat. Lykke Li),spotify:track:7aQeWViSfRWSEwtJD86Eq0,2019-04-12,0.437,0.688,251028.0,0.729,0.0,0.00369,4.0,0.0928,-6.56,0.0,64.0,0.0573,110.055,4.0,0.469,1.0
1172,Make It Right (feat. Lauv),BTS,1.0,314ZkcV7oLWG8yWE7LABvH,Make It Right (feat. Lauv),spotify:track:314ZkcV7oLWG8yWE7LABvH,2019-10-18,0.0304,0.584,226321.0,0.685,0.0,0.0,7.0,0.189,-7.811,1.0,75.0,0.425,97.551,4.0,0.345,1.0
1173,MAP OF THE SOUL : PERSONA,BTS,3.0,5hnbE5BF2e8BCk9OMR1UVC,Mikrokosmos,spotify:track:5hnbE5BF2e8BCk9OMR1UVC,2019-04-12,0.125,0.58,224225.0,0.858,0.0,0.0,8.0,0.0502,-5.212,1.0,76.0,0.114,174.039,3.0,0.475,1.0
1174,Utopia,M Huncho,3.0,38uQPQvmxIKKhs3V0kKvC5,Rock Bottom,spotify:track:38uQPQvmxIKKhs3V0kKvC5,2019-04-12,0.195,0.629,233513.0,0.612,1.0,0.0,10.0,0.0938,-6.605,0.0,50.0,0.0738,147.85,4.0,0.352,1.0
1175,Indigo,Chris Brown,2.0,2HDqP1ao45k1t7mPe7lo4C,Back To Love,spotify:track:2HDqP1ao45k1t7mPe7lo4C,2019-06-28,0.0936,0.73,220480.0,0.922,1.0,0.0,5.0,0.165,-3.382,0.0,55.0,0.0611,122.926,4.0,0.511,1.0
1177,New Age,KSI,9.0,2zomOrcP6peq11Zr13DRQT,Pull Up,spotify:track:2zomOrcP6peq11Zr13DRQT,2019-04-12,0.384,0.882,184411.0,0.529,1.0,8.44e-05,10.0,0.182,-7.801,0.0,59.0,0.321,136.036,4.0,0.496,1.0
1179,Here We Go Again,Sigma,1.0,1jfW9Ro29uuPlAUfnOqTVw,Here We Go Again,spotify:track:1jfW9Ro29uuPlAUfnOqTVw,2019-03-29,0.132,0.535,162584.0,0.842,0.0,0.0,4.0,0.148,-3.094,1.0,60.0,0.0846,152.807,4.0,0.598,1.0
1180,KILL THIS LOVE,BLACKPINK,1.0,18PergoIrGmRyeYxnaXJN2,Kill This Love,spotify:track:18PergoIrGmRyeYxnaXJN2,2019-04-05,0.32,0.738,189052.0,0.861,0.0,0.00175,2.0,0.325,-4.141,1.0,79.0,0.237,131.974,4.0,0.58,1.0
1182,Free Spirit,Khalid,10.0,09oZ9eXQ2fo6YDrPzJqAoP,Outta My Head (with John Mayer),spotify:track:09oZ9eXQ2fo6YDrPzJqAoP,2019-04-05,0.0174,0.729,177066.0,0.545,0.0,0.000274,0.0,0.369,-7.818,1.0,70.0,0.0316,103.012,4.0,0.514,1.0
1183,Racing Cars,Ruti,1.0,2FX66yHFVe70treUSi9jLC,Racing Cars,spotify:track:2FX66yHFVe70treUSi9jLC,2019-04-05,0.779,0.539,193513.0,0.346,0.0,0.000126,2.0,0.114,-7.92,0.0,36.0,0.172,79.587,4.0,0.286,1.0
1184,Racks in the Middle (feat. Roddy Ricch and Hit-Boy),Nipsey Hussle,1.0,6ya8ejoKgw906Y8LWclqrp,Racks in the Middle (feat. Roddy Ricch and Hit-Boy),spotify:track:6ya8ejoKgw906Y8LWclqrp,2019-02-15,0.0825,0.671,233277.0,0.833,1.0,0.0,5.0,0.0726,-5.152,0.0,70.0,0.395,79.351,4.0,0.702,1.0
